Compound,Date,Negative,Neutral,News Station,Positive,Tweet_text
0.3802,Tue Jan 09 20:12:54 +0000 2018,0.0,0.895,@BBC,0.105,"RT @BBCBreakfast: Make sure you 'paws' for this one!

Tomorrow we're speaking to the series producer of BBC One's new documentary Big Cats…"
0.3182,Tue Jan 09 20:10:56 +0000 2018,0.0,0.887,@BBC,0.113,RT @1Xtra: So @iamwill and @bep are putting out a graphic novel with @Marvel and it looks lit 👀👀 https://t.co/WMUvS2Jt0F
0.0,Tue Jan 09 20:10:12 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCiPlayer: Class Series 1 - watch all episodes. Boxset available until Monday #iplayerit https://t.co/k88nOUX4Wz
0.8316,Tue Jan 09 20:10:00 +0000 2018,0.071,0.586,@BBC,0.343,"RT @bbcthree: ""As long as I'm alive, I feel that he is alive too""

Brave children explain what it's like to have lost a parent. https://t.c…"
0.0772,Tue Jan 09 19:55:09 +0000 2018,0.0,0.929,@BBC,0.071,"A documentary series looking at the challenges facing the new Crown Prince of Saudi Arabia, Mohammed bin Salman.… https://t.co/D1Isc8rgac"
0.0,Tue Jan 09 19:30:07 +0000 2018,0.0,1.0,@BBC,0.0,🚀 A Japanese astronaut living on the International Space Station says he's grown 9cm since arriving there 3 weeks a… https://t.co/gYVBN1eA1c
0.6486,Tue Jan 09 19:00:07 +0000 2018,0.0,0.739,@BBC,0.261,"Giving up fizzy drinks in 2018? If you're dieting, that might be a good idea... 👨‍⚕️👩‍⚕️ 
#TrustMeImADoctor https://t.co/UPyyQw5uwi"
0.4215,Tue Jan 09 18:30:12 +0000 2018,0.0,0.859,@BBC,0.141,"🍲 Soup is the ultimate budget-friendly supper. All you need are some nice vegetables, stock and a few flavourings.… https://t.co/M4kyapzn4r"
0.25,Tue Jan 09 18:05:51 +0000 2018,0.0,0.913,@BBC,0.087,"RT @BBCBreakfast: Coconut oil is the latest 'superfood' to be endorsed by bloggers and celebrities, yet it contains more saturated fat than…"
0.0,Tue Jan 09 18:04:16 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBC_Teach: Learn about some of the world's most famous scientists (including Carl Linnaeus👇) with our new series of 'vlog-style' parody…
0.2263,Tue Jan 09 18:00:02 +0000 2018,0.088,0.783,@BBC,0.129,"👑 The astonishing true story of the first reigning queen of England.

England's Forgotten Queen: The Life and Death… https://t.co/YO0cKlCXgt"
0.0,Tue Jan 09 17:51:32 +0000 2018,0.0,1.0,@BBC,0.0,RT @BBCAfrica: Snow falls in the Sahara desert https://t.co/mZlD8IKIoL https://t.co/n2M0S4UG8t
0.6478,Tue Jan 09 17:30:05 +0000 2018,0.0,0.694,@BBC,0.306,'Well this I think is one of the more enjoyable parts of the jo...' 😂https://t.co/cQF64ofzMz
0.6369,Tue Jan 09 17:00:14 +0000 2018,0.0,0.756,@BBC,0.244,A selection of the best photos from across and about Africa last week. 📸 https://t.co/l3V3Zhdd1u https://t.co/MLNOIkiv8c
0.0,Tue Jan 09 16:33:03 +0000 2018,0.0,1.0,@BBC,0.0,Prince Harry and Meghan Markle have visited a community radio station in Brixton. 📻 https://t.co/GagmLYEocM https://t.co/OEwlHAeYhy
0.5093,Tue Jan 09 15:00:10 +0000 2018,0.0,0.785,@BBC,0.215,The nominations for this year's Bafta Film Awards have been announced! ✨ 🎬 https://t.co/5yAuq8o65r https://t.co/rCkDXxxpZw
0.2023,Tue Jan 09 14:31:03 +0000 2018,0.0,0.924,@BBC,0.076,🎬🎞 Films with female leads were the top three at the box office in 2017. Will Hollywood follow the money in future?… https://t.co/qfLEvQs4Y0
0.5106,Tue Jan 09 14:00:07 +0000 2018,0.0,0.815,@BBC,0.185,🎧🎸 Nearly a quarter of the current UK top 40 is made up of tracks credited to more than one artist.… https://t.co/waVrDMmuTy
0.7845,Tue Jan 09 13:53:31 +0000 2018,0.0,0.753,@BBC,0.247,RT @BBCArchive: Blue Peter has been named the best children's TV programme by experts who have clearly never seen Button Moon. Here's Valer…
-0.1298,Tue Jan 09 13:52:08 +0000 2018,0.135,0.749,@BBC,0.116,RT @BBCWiltshire: One of Longleat's most popular residents has died. Nico was believed to be the oldest silverback gorilla in Europe 🦍 😢 ht…
0.0,Tue Jan 09 13:30:05 +0000 2018,0.0,1.0,@BBC,0.0,"Sporting statue shockers... 

Michael, is that you? 🤔 https://t.co/GUJHPqWlmW https://t.co/2vPD9z2FES"
